Id,Text Tweet,Sentiment
229,Padahal udah settingan 3G tapi kenapa kuota 3G tidak bisa dipakai malah menguras pulsa yaa? #Tanya <PROVIDER_NAME>,negative
230,Sudah mahal sinyalnya jelek lagi... <PROVIDER_NAME> bangsat anjing...,negative
231,Jeleknya jaringan internet. <PROVIDER_NAME>,negative
232,Cuma di area Pandeglang kota.. jaringan <PROVIDER_NAME> buruk jelek. Kejadian ini sudah berlangsung sebulan lamanya. <PROVIDER_NAME>Care <PROVIDER_NAME>payah <PROVIDER_NAME> harus dihack,negative
233,"benar2 kacau. Baru isi kuota, datanya langsung habis. <PROVIDER_NAME> ",negative
234,<PROVIDER_NAME> ayo kamu bisa,positive
235,Mending ngopi nyantai sambil dengar musik klasik di youtube gratis dari jaringan <PROVIDER_NAME> yang keren,positive
236,ada banyak fitur  dari Kartu Perdana <PROVIDER_NAME> yg udah 4.5G <PROVIDER_NAME>Youtube1tahun <PROVIDER_NAME>_Jabo <USER_MENTION>,positive
237,"Hari minggu masuk kerja tapi gak ada yang dikerjain, ujung2nya mencari lapak terus rebahan sambil denger musik di youtube. <PROVIDER_NAME> top deh",positive
238,Sekarang enak belanja online. Sinyal kuat dan kencang pakai <PROVIDER_NAME>. ,positive
239,Mantap! Paket <PRODUCT_NAME> dari <PROVIDER_NAME> bikin mupeng. Banyak <PRODUCT_NAME>nya! ,positive
240,Selain bonus THR dapat bonus dari <PROVIDER_NAME> yang begini nih yang bikin hati senang juga.. ,positive
241,"Pagi ini saya sahur di Purwakarta, dan disini sinyal <PROVIDER_NAME> nya bagus banget",positive
242,"Astaga udah sore aja. Keasyikan main hape. Sinyal lancar, hebat emang <PROVIDER_NAME>",positive
243,"Kadang, saya juga cari referensi di youtube yang merupakan gudang informasi keren. <PROVIDER_NAME> youtube an tanpa kuota bisa streaming lancar",positive
244,belajar mengedit video di youtube jadi enak dan cepat paham kalo jaringan <PROVIDER_NAME> lancar dan kencang begini.,positive
245,"Tethering pakai kartu <PROVIDER_NAME> sinyalnya kencang badai, apalagi kalau lagi browsing"" mencari bahan artikel. Dijamin lancar.",positive
246,Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME>,negative
247,Ayo yang masih pakai kartu <PROVIDER_NAME> Segera buang ke Got ya,negative
248,#Boikot<PROVIDER_NAME>..saatnya hijrah ke ..selamat tinggal <PROVIDER_NAME>..,negative
249,Alhamdulillah Kuota <PROVIDER_NAME> banyak yang murah,positive
250,"Sudah tarifnya paling mahal, ditambah jaringan yang semakin hari semakin susah! <PROVIDER_NAME> mengesalkan banget ",negative
251,"<PROVIDER_NAME> Pulsanya masih ada, TM masih banyak, mau nelpon ke sesama simpati katanya pulsa gak cukup, kampret ini <PROVIDER_NAME> ",negative
252,Tiba-tiba ada sinyal 4g di rumahku.  Biasanya gak ada.. lancar juga. <PROVIDER_NAME>,positive
253,"Tadinya berharap paling bagus untuk kerja online,Ternyata internetnya tidak seSimpati namanya <PROVIDER_NAME> <URL>",negative
254,Jaringan internet <PROVIDER_NAME> di sumba timur parah....,negative
255,Kualitas jaringan <PROVIDER_NAME> sangat menurun di wilayah Sukabumi.,negative
256,Ternyata tidak cuma saya yang mengeluh karena sinyal atau pelayanan <PROVIDER_NAME> dalam jaringan internet masih kurang,negative
257,"Sudah tengah malam, jaringan kok masih super lelet <PROVIDER_NAME> gak berkualitas",negative
258,Sinyal <PROVIDER_NAME> yang sangat menyedihkan,negative
259,<PROVIDER_NAME> makin bangsat kalau dibiarin,negative
260,<PROVIDER_NAME> memang bangsat gemas duh,negative
261,Signal <PROVIDER_NAME> Mentari makin lama makin memprihatinkan. Saatnya memikirkan untuk ganti kartu. Kecewa <PROVIDER_NAME>,negative
262,<PROVIDER_NAME> apakah <PROVIDER_NAME> lagi gangguan di daerah kramat jati? Sumpah sudah lelet banget padahal sudah 4g ,negative
263,"<PROVIDER_NAME> kenapa <PROVIDER_NAME> super lelet? 4g tp kecepatan 0,1 1 kb/s. gangguan atau gimana sih? ",negative
264,tai <PROVIDER_NAME>,negative
265,"Ya allah. Kalau hujan sinyal <PROVIDER_NAME> kaya lagunya Kotak ""Pelan Pelan Saja""",negative
266,bikin kelar <PROVIDER_NAME> ,negative
267,<PROVIDER_NAME> Hooq sangat tidak bermanfaat. Beli kuota bisa menonton di youtube gak perlu Hooq #rugi <PRODUCT_NAME> #kuota <PROVIDER_NAME> ,negative
268,<PROVIDER_NAME>  Di daerahku udah 3 hari  trouble mulu,negative
269,"sisa 2 hari kuota <PROVIDER_NAME> <PROVIDER_NAME> tapi sudah dibilang habis, gimana ini!",negative
270,Jaringan simpati anjir banget akhir2 ini. <PROVIDER_NAME>,negative
271,Dan terjadi lagi <PROVIDER_NAME> tai,negative
272,Untung pakai <PROVIDER_NAME> walaupun jauh dari rumah tapi Alhamdulillah semua urusan beres.,positive
273,jaringan <PROVIDER_NAME> flash untuk daerah aceh singkil kok gak stabil <PROVIDER_NAME>,negative
274,<PROVIDER_NAME> tarif mahal dengan sinyal parah.,negative
275,"Jadi, sudah seminggu ini saya digangguin sama bunyi SMS dari <PROVIDER_NAME>. Ada promo, katanya.… <URL> ",negative
276,Oh jariangan kenapa <PROVIDER_NAME>,negative
277,Tiap jam 12 malam ke atas hancur koneksinya <PROVIDER_NAME>,negative
278,Sedih saya kalau beli paket internet <PROVIDER_NAME>,negative
279,Hobi ngecek <PRODUCT_NAME> kali aja ada promo kuota internet buat penguna setia <PROVIDER_NAME> ternyata ada. Alhamdulillah rejeki anak biasa,positive
280,<PROVIDER_NAME> setelah dihack malah tambah mahal,negative
281,Jaringan lelet <PROVIDER_NAME>,negative
282,<PROVIDER_NAME> lagi gangguan ya??,negative
283,<PROVIDER_NAME> hancur jaringannya,negative
284,Setiap isi pulsa belum dipakai pasti hilang mohon pejelasannya buat <PROVIDER_NAME>,negative
285,<PROVIDER_NAME> memang bikin sebal ,negative
286,4G LTE <PROVIDER_NAME> sedang bermasalah,negative
287,<PROVIDER_NAME> luar biasa parah 2 hari cuma buang2 kuota... payah <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME>,negative
288,koneksinya makin lancar pakai <PROVIDER_NAME> ,positive
289,pakai sinyal <PROVIDER_NAME> lancar. <PROVIDER_NAME> memang yess!! ,positive
290,"Data-data kerja jadi lebih cepat dicari kalau internetnya pakai <PROVIDER_NAME>,",positive
291,"<PROVIDER_NAME> memang juara, dari tadi nonton Youtube kuota masih full aja XD",positive
292,Kenikmatan yang bisa didapatkan saat menjadi pengguna <PROVIDER_NAME> adalah menonton youtube gratis selama setahun,positive
293,Upload file yang besar juga sangat mudah dengan <PROVIDER_NAME>. Karena jaringan internetnya sangat cepat. Alhamdulillah,positive
294,"Untungnya pake <PROVIDER_NAME>, pekerjaan gua lancar :))",positive
295,Siang ini nyoba bonus telpon pakai kartu <PROVIDER_NAME> baru. Aman lancar jaya suaranya meski cuaca hujan.,positive
296,"Pantesan lancar ya, sinyal <PROVIDER_NAME> yang 4G lancar sekali di lombok timur",positive
297,Alhamdulillah lancar pakai <PROVIDER_NAME>,positive
298,"Untung pakai internet <PROVIDER_NAME>, lancar, jadi dapat banyak ide.",positive
299,"di tempat ramai seperti di lokasi wisata, <PROVIDER_NAME> tetap jaya.",positive
300,Sinyal <PROVIDER_NAME> amsyong d stadion gajayana,negative
